gene_ID,chromosome,gene_length[bp],A_content[%],T_content[%],C_content[%],G_content[%],GC_content[%],category
0,YAL001C,1,3573,35.32046,27.59586,15.81304,21.27064,37.08368,"GC content below 
 length above"
1,YAL002W,1,3825,31.89542,30.9281,18.7451,18.43137,37.17647,"GC content below 
 length above"
2,YAL003W,1,987,29.68592,31.10436,18.84498,20.36474,39.209720000000004,"GC content below 
 length below"
3,YAL005C,1,1929,29.13427,26.80145,21.15086,22.91343,44.06429,"GC content above 
 length above"
4,YAL007C,1,648,30.8642,32.09877,17.59259,19.44444,37.03703,"GC content below 
 length below"
5,YAL008W,1,597,28.1407,32.99832,14.23786,24.62312,38.86098,"GC content below 
 length below"
6,YAL009W,1,780,30.38462,28.20513,18.20513,23.20513,41.41026,"GC content above 
 length below"
7,YAL010C,1,1482,34.278,29.01484,20.10796,16.59919,36.70715,"GC content below 
 length above"
8,YAL011W,1,1878,38.01917,20.39404,17.99787,23.58892,41.58679,"GC content above 
 length above"
9,YAL012W,1,1185,26.32911,24.9789,27.42616,21.26582,48.69198,"GC content above 
 length below"
10,YAL013W,1,1218,32.51232,16.00985,24.54844,26.92939,51.47783,"GC content above 
 length below"
11,YAL014C,1,768,29.16667,25.91146,20.83333,24.08854,44.92187,"GC content above 
 length below"
12,YAL015C,1,1200,32.83333,23.75,19.58333,23.83333,43.41666,"GC content above 
 length below"
13,YAL016W,1,1908,30.60797,31.13208,17.81971,20.44025,38.25996,"GC content below 
 length above"
14,YAL017W,1,4071,32.81749,28.29772,18.76689,20.11791,38.8848,"GC content below 
 length above"
15,YAL018C,1,978,27.50511,34.66258,19.0184,18.81391,37.83231,"GC content below 
 length below"
16,YAL019W,1,3396,34.98233,24.44052,19.31684,21.26031,40.57715,"GC content above 
 length above"
17,YAL020C,1,1002,24.1517,20.65868,23.15369,32.03593,55.189620000000005,"GC content above 
 length below"
18,YAL021C,1,2514,31.66269,22.67303,24.62212,21.04216,45.66428,"GC content above 
 length above"
19,YAL022C,1,1554,26.19048,27.99228,23.42342,22.39382,45.81724,"GC content above 
 length above"
20,YAL023C,1,2280,26.22807,29.21053,22.45614,22.10526,44.561400000000006,"GC content above 
 length above"
21,YAL024C,1,4308,36.69916,26.23027,18.9415,18.12906,37.07056,"GC content below 
 length above"
22,YAL025C,1,921,37.67644,20.08686,15.74376,26.49294,42.2367,"GC content above 
 length below"
23,YAL026C,1,4068,31.71091,30.70305,17.47788,20.10816,37.58604,"GC content below 
 length above"
24,YAL027W,1,786,35.36896,26.20865,19.2112,19.2112,38.4224,"GC content below 
 length below"
25,YAL028W,1,1587,31.12791,26.339,22.49527,20.03781,42.53308,"GC content above 
 length above"
26,YAL029C,1,4416,35.37138,27.4683,17.1875,19.97283,37.16033,"GC content below 
 length above"
27,YAL030W,1,467,32.33405,27.83726,19.05782,20.77088,39.8287,"GC content above 
 length below"
28,YAL031C,1,2283,33.07052,26.85064,20.98117,19.09768,40.07885,"GC content above 
 length above"
29,YAL032C,1,1140,34.47368,20.26316,21.66667,23.59649,45.26316,"GC content above 
 length below"
30,YAL033W,1,522,32.18391,26.24521,19.15709,22.41379,41.57088,"GC content above 
 length below"
31,YAL034C,1,1242,31.88406,25.92593,23.18841,19.00161,42.190020000000004,"GC content above 
 length above"
32,YAL034W-A,1,870,36.43678,25.05747,14.71264,23.7931,38.50574,"GC content below 
 length below"
33,YAL035W,1,3009,35.06148,23.62911,17.71353,23.59588,41.30941,"GC content above 
 length above"
34,YAL036C,1,1110,28.82883,27.47748,18.82883,24.86486,43.693690000000004,"GC content above 
 length below"
